Shipment_ID,Order_Date,Delivery_Date,Origin_Hub,Destination_City,Distance_KM,Weight_KG,Service_Type,Freight_Charge_INR,Delivery_Status,Customer_Rating
EKT100001,2025-04-13,2025-04-17,AMD-Hub (Ahmedabad),Bangalore,2010.97,0.87,Standard,2488.82,Delivered,5
EKT100002,2025-12-15,2025-12-17,DEL-Hub (Delhi),Patna,1544.18,0.21,Standard,1916.8,Delivered,4
EKT100003,2025-09-28,2025-10-02,BLR-Hub (Bangalore),Chennai,503.17,1.28,Standard,686.84,Delivered,5
EKT100004,2025-04-17,2025-04-21,AMD-Hub (Ahmedabad),Pune,715.28,3.48,Standard,980.98,Delivered,4
EKT100005,2025-03-13,2025-03-15,DEL-Hub (Delhi),Ahmedabad,95.55,1.53,Standard,202.2,Delivered,3
EKT100006,2025-07-08,2025-07-13,AMD-Hub (Ahmedabad),Mumbai,1359.69,1.3,Express,1865.03,RTO (Return to Origin),2
EKT100007,2025-01-21,2025-01-26,HYD-Hub (Hyderabad),Kolkata,1360.19,1.14,Standard,1712.75,Delivered,5
EKT100008,2025-04-13,2025-04-18,PNQ-Hub (Pune),Kolkata,1604.34,1.54,Express,2162.93,Delivered,5
EKT100009,2025-05-02,2025-05-05,BOM-Hub (Mumbai),Indore,53.86,0.96,Express,291.91,Delivered,3
EKT100010,2025-08-03,2025-08-08,PNQ-Hub (Pune),Jaipur,1804.72,2.37,Same-Day,2568.32,Delivered,4
EKT100011,2025-11-27,2025-11-29,BLR-Hub (Bangalore),Indore,1633.0,0.2,Standard,2023.2,Delivered,4
EKT100012,2025-03-29,2025-04-01,HYD-Hub (Hyderabad),Indore,335.72,4.12,Express,687.02,Delivered,5
EKT100013,2025-04-10,2025-04-15,MAA-Hub (Chennai),Indore,784.35,0.48,Standard,1009.86,Delivered,5
EKT100014,2025-12-26,2025-12-29,DEL-Hub (Delhi),Bangalore,1415.6,2.51,Standard,1803.9,Delayed,1
EKT100015,2025-06-01,2025-06-03,MAA-Hub (Chennai),Surat,1105.88,1.49,Express,1563.88,Delivered,5
EKT100016,2025-05-11,2025-05-16,CCU-Hub (Kolkata),Hyderabad,279.75,3.71,Standard,462.48,Delayed,2
EKT100017,2025-05-30,2025-05-31,PNQ-Hub (Pune),Lucknow,219.54,4.37,Standard,402.11,Delivered,5
EKT100018,2025-11-05,2025-11-07,BLR-Hub (Bangalore),Surat,1725.76,0.57,Standard,2141.17,Delivered,4
EKT100019,2025-09-15,2025-09-19,DEL-Hub (Delhi),Kolkata,368.45,2.83,Standard,553.08,Delivered,5
EKT100020,2025-12-10,2025-12-14,BOM-Hub (Mumbai),Mumbai,403.44,0.53,Express,703.67,Delivered,5
EKT100021,2025-10-21,2025-10-23,AMD-Hub (Ahmedabad),Mumbai,1833.1,0.33,Standard,2265.66,Delivered,5
EKT100022,2025-07-11,2025-07-15,BOM-Hub (Mumbai),Chennai,1358.34,6.66,Standard,1809.89,Delivered,4
EKT100023,2025-10-04,2025-10-06,BOM-Hub (Mumbai),Surat,1342.23,0.45,Express,1828.78,Delivered,4
EKT100024,2025-06-10,2025-06-11,HYD-Hub (Hyderabad),Chennai,1070.18,0.65,Express,1505.92,Delivered,5
EKT100025,2025-11-10,2025-11-12,BOM-Hub (Mumbai),Pune,1264.72,0.35,Express,1733.96,Delayed,1
EKT100026,2025-01-22,2025-01-27,DEL-Hub (Delhi),Bhopal,1335.84,1.59,Standard,1691.63,RTO (Return to Origin),1
EKT100027,2025-09-10,2025-09-15,AMD-Hub (Ahmedabad),Surat,2130.18,6.3,Standard,2729.62,Delivered,5
EKT100028,2025-08-24,2025-08-27,PNQ-Hub (Pune),Bhopal,513.85,0.77,Standard,690.48,Delivered,4
EKT100029,2025-12-11,2025-12-15,PNQ-Hub (Pune),Delhi,495.6,1.95,Standard,689.82,Delivered,5
EKT100030,2025-02-18,2025-02-22,PNQ-Hub (Pune),Patna,154.16,1.33,Standard,268.93,Delivered,5
EKT100031,2025-02-28,2025-03-02,HYD-Hub (Hyderabad),Hyderabad,1458.29,1.02,Standard,1828.31,Delivered,4
EKT100032,2025-06-19,2025-06-23,CCU-Hub (Kolkata),Patna,1221.42,2.12,Standard,1563.86,RTO (Return to Origin),1
EKT100033,2025-07-07,2025-07-12,BOM-Hub (Mumbai),Indore,271.39,2.05,Standard,422.57,Delivered,5
EKT100034,2025-09-28,2025-09-29,PNQ-Hub (Pune),Jaipur,821.05,1.11,Standard,1065.24,Delivered,4
EKT100035,2025-07-09,2025-07-11,BOM-Hub (Mumbai),Mumbai,417.7,4.75,Standard,646.74,Delivered,5
EKT100036,2025-06-24,2025-06-28,AMD-Hub (Ahmedabad),Surat,749.32,0.2,Same-Day,1262.78,Cancelled,2
EKT100037,2025-02-20,2025-02-25,AMD-Hub (Ahmedabad),Kolkata,2094.24,0.22,Standard,2577.05,Delivered,5
EKT100038,2025-12-30,2026-01-02,HYD-Hub (Hyderabad),Lucknow,1512.8,11.72,Standard,2086.32,RTO (Return to Origin),1
EKT100039,2025-02-24,2025-02-28,BOM-Hub (Mumbai),Patna,46.42,3.44,Standard,177.62,Delivered,4
EKT100040,2025-09-01,2025-09-02,CCU-Hub (Kolkata),Lucknow,577.94,4.07,Standard,826.79,Delivered,4
EKT100041,2025-11-16,2025-11-17,HYD-Hub (Hyderabad),Chennai,52.48,2.31,Standard,164.56,Delivered,5
EKT100042,2025-05-11,2025-05-15,HYD-Hub (Hyderabad),Chennai,1581.26,1.36,Standard,1981.99,Delayed,1
EKT100043,2025-11-03,2025-11-07,BLR-Hub (Bangalore),Ahmedabad,1048.65,2.48,Express,1513.02,Delivered,5
EKT100044,2025-05-15,2025-05-20,HYD-Hub (Hyderabad),Bhopal,2187.02,0.24,Standard,2688.74,Delayed,2
EKT100045,2025-01-21,2025-01-25,BOM-Hub (Mumbai),Hyderabad,1621.88,3.54,Standard,2069.98,Delivered,4
EKT100046,2025-11-25,2025-11-28,HYD-Hub (Hyderabad),Pune,1153.87,1.95,Express,1629.74,Delivered,5
EKT100047,2025-06-16,2025-06-21,BOM-Hub (Mumbai),Patna,1776.21,7.85,Express,2482.75,Delivered,4
EKT100048,2025-10-01,2025-10-03,BOM-Hub (Mumbai),Surat,1559.42,2.54,Standard,1977.02,Delivered,5
EKT100049,2025-03-30,2025-04-02,PNQ-Hub (Pune),Jaipur,558.99,0.41,Standard,738.17,Delivered,5
EKT100050,2025-11-12,2025-11-17,HYD-Hub (Hyderabad),Indore,1180.66,1.62,Same-Day,1805.95,Delayed,1
EKT100051,2025-01-14,2025-01-19,BLR-Hub (Bangalore),Bangalore,1236.52,0.2,Express,1697.42,Delivered,3
EKT100052,2025-08-30,2025-08-31,BOM-Hub (Mumbai),Patna,1009.17,3.42,Express,1482.56,Delivered,4
EKT100053,2025-09-22,2025-09-27,PNQ-Hub (Pune),Mumbai,418.85,1.74,Standard,593.94,Delivered,4
EKT100054,2025-12-12,2025-12-15,BLR-Hub (Bangalore),Bangalore,514.71,1.15,Standard,698.35,Delivered,4
EKT100055,2025-02-22,2025-02-26,BLR-Hub (Bangalore),Ahmedabad,639.87,8.65,Standard,983.54,Delayed,1
EKT100056,2025-12-06,2025-12-09,HYD-Hub (Hyderabad),Indore,52.25,7.06,Standard,249.78,Delivered,5
EKT100057,2025-04-02,2025-04-04,MAA-Hub (Chennai),Jaipur,2019.77,7.64,Standard,2621.24,Delivered,3
EKT100058,2025-09-21,2025-09-26,PNQ-Hub (Pune),Lucknow,1518.83,0.62,Standard,1893.76,Delivered,5
EKT100059,2025-02-04,2025-02-09,MAA-Hub (Chennai),Kolkata,1526.47,3.26,Same-Day,2250.44,Cancelled,1
EKT100060,2025-07-25,2025-07-30,BOM-Hub (Mumbai),Ahmedabad,1271.96,7.27,Standard,1717.21,Delivered,5
EKT100061,2025-03-22,2025-03-27,DEL-Hub (Delhi),Bhopal,1525.8,2.11,Standard,1928.94,Delivered,5
EKT100062,2025-02-19,2025-02-20,MAA-Hub (Chennai),Patna,2160.64,0.6,Express,2813.57,Delivered,4
EKT100063,2025-12-26,2025-12-27,PNQ-Hub (Pune),Pune,865.8,4.26,Standard,1175.64,Delivered,5
EKT100064,2025-01-02,2025-01-06,HYD-Hub (Hyderabad),Surat,1576.18,5.3,Standard,2046.82,Delivered,4
EKT100065,2025-02-23,2025-02-28,PNQ-Hub (Pune),Bhopal,810.18,3.04,Standard,1086.94,RTO (Return to Origin),1
EKT100066,2025-04-16,2025-04-18,HYD-Hub (Hyderabad),Surat,1883.81,0.87,Express,2486.23,Delayed,1
EKT100067,2025-09-17,2025-09-21,MAA-Hub (Chennai),Indore,1891.92,0.53,Standard,2339.84,Delivered,4
EKT100068,2025-11-06,2025-11-11,DEL-Hub (Delhi),Jaipur,1987.92,2.45,Standard,2489.6,Delivered,5
EKT100069,2025-07-10,2025-07-11,CCU-Hub (Kolkata),Chennai,41.86,1.65,Express,289.93,Delivered,5
EKT100070,2025-08-06,2025-08-08,BOM-Hub (Mumbai),Indore,677.08,2.76,Standard,922.18,Delayed,1
EKT100071,2025-02-13,2025-02-17,PNQ-Hub (Pune),Lucknow,320.62,0.3,Standard,450.14,Delivered,5
EKT100072,2025-06-11,2025-06-13,CCU-Hub (Kolkata),Bangalore,1015.15,0.37,Standard,1284.84,Delivered,5
EKT100073,2025-07-21,2025-07-26,CCU-Hub (Kolkata),Jaipur,1105.13,1.13,Express,1556.5,Delivered,5
EKT100074,2025-09-27,2025-09-30,BLR-Hub (Bangalore),Ahmedabad,585.31,0.75,Standard,775.87,Delivered,5
EKT100075,2025-12-17,2025-12-19,BLR-Hub (Bangalore),Pune,1599.88,2.41,Standard,2023.24,Cancelled,1
EKT100076,2025-10-31,2025-11-02,BOM-Hub (Mumbai),Delhi,615.4,1.15,Standard,819.18,Delivered,5
EKT100077,2025-09-28,2025-09-29,DEL-Hub (Delhi),Mumbai,1882.94,2.88,Standard,2371.37,Delivered,5
EKT100078,2025-08-03,2025-08-08,BLR-Hub (Bangalore),Jaipur,415.52,3.66,Express,774.5,Delayed,2
EKT100079,2025-09-09,2025-09-11,PNQ-Hub (Pune),Kolkata,826.9,0.52,Standard,1061.64,Cancelled,1
EKT100080,2025-07-09,2025-07-14,PNQ-Hub (Pune),Delhi,1380.26,6.31,Standard,1829.89,Cancelled,1
EKT100081,2025-10-23,2025-10-24,MAA-Hub (Chennai),Jaipur,1343.58,3.87,Express,1891.96,Delivered,4
EKT100082,2025-08-01,2025-08-06,PNQ-Hub (Pune),Delhi,199.32,2.46,Express,493.46,RTO (Return to Origin),1
EKT100083,2025-07-27,2025-07-28,BOM-Hub (Mumbai),Ahmedabad,1866.38,5.99,Standard,2407.48,Delivered,3
EKT100084,2025-08-25,2025-08-26,HYD-Hub (Hyderabad),Kolkata,1327.8,0.77,Standard,1667.22,Delivered,5
EKT100085,2025-12-04,2025-12-08,CCU-Hub (Kolkata),Bhopal,1917.6,1.37,Standard,2385.78,Delayed,1
EKT100086,2025-02-22,2025-02-27,PNQ-Hub (Pune),Patna,1912.77,0.22,Express,2509.28,Delayed,2
EKT100087,2025-10-07,2025-10-10,BOM-Hub (Mumbai),Surat,1214.64,1.52,Express,1694.93,Delivered,4
EKT100088,2025-08-05,2025-08-09,HYD-Hub (Hyderabad),Hyderabad,2006.4,1.77,Standard,2499.54,Delivered,5
